District_Name,UnitName,predicted_FIRs_next_year,trend_direction
BENGALURU CITY,BANASHANKARI TRAFFIC PS,90.14,increasing
BENGALURU CITY,WEST CEN CRIME PS,97.82,increasing
BENGALURU CITY,SESHADRIPURAM PS,94.31,increasing
BENGALURU CITY,KUMARASWAMY LAYOUT PS,95.0,increasing
BENGALURU CITY,CHAMARAJPET PS,95.56,increasing
BENGALURU CITY,MADIVALA PS,95.54,increasing
BENGALURU CITY,MALLESHWARAM PS,97.5,increasing
BENGALURU CITY,HANUMANTHANAGAR PS,98.33,increasing
BENGALURU CITY,SADASHIVANAGAR PS,100.14,increasing
BENGALURU CITY,JALAHALLI TRAFFIC PS,102.22,increasing
BENGALURU CITY,KORAMANGALA PS,102.32,increasing
BENGALURU CITY,MAGADI ROAD TRAFFIC PS,104.17,increasing
BENGALURU CITY,BAGALUR PS,109.69,increasing
BENGALURU CITY,K.R.PURAM TRAFFIC PS,110.16,increasing
BENGALURU CITY,WILSONGARDEN PS,110.18,increasing
BENGALURU CITY,HEBBAL PS,111.67,increasing
BENGALURU CITY,CHIKKAJALA PS,114.54,increasing
BENGALURU CITY,KADUGODI PS,115.28,increasing
BENGALURU CITY,HENNUR PS,116.25,increasing
BENGALURU CITY,BYADARAHALLI PS,118.01,increasing
BENGALURU CITY,CHANNAMMANAKERE ACHU KATTU PS,117.36,increasing
BENGALURU CITY,SUBRAMANYANAGAR PS,119.44,increasing
BENGALURU CITY,V V PURAM TRAFFIC PS,120.0,increasing
BENGALURU CITY,RAJARAJESHWARI NAGAR PS,121.53,increasing
BENGALURU CITY,JALAHALLI PS,122.78,increasing
BENGALURU CITY,ELECTRONIC CITY PS,122.81,increasing
BENGALURU CITY,BANDEPALYA PS,126.08,increasing
BENGALURU CITY,SADASHIVANAGAR TRAFFIC PS,129.84,increasing
BENGALURU CITY,KOTHANUR PS,135.2,increasing
BENGALURU CITY,SUBRAMANYAPURA PS,134.72,increasing
BENGALURU CITY,VISHVESHWARAPURAM PS,134.72,increasing
BENGALURU CITY,JAGAJEEVANRAM NAGAR PS,137.19,increasing
BENGALURU CITY,COTTONPET PS,139.04,increasing
BENGALURU CITY,RAJAJINAGAR PS,140.28,increasing
BENGALURU CITY,VIJAYANAGAR PS,140.54,increasing
BENGALURU CITY,HALASURGATE PS,141.94,increasing
BENGALURU CITY,THALAGHATTAPURA TRAFFIC PS,185.6,increasing
BENGALURU CITY,RAJAJINAGAR TRAFFIC PS,145.83,increasing
BENGALURU CITY,SOUTHEAST CEN CRIME PS,154.7,increasing
BENGALURU CITY,VYALIKAVAL PS,148.89,increasing
